Document Type,Authors,Title,Source,Year,Link,Abstract,Keywords
Conference Paper,"Agustin T., Utami E., Fatta H.A.",Implementation of Data Augmentation to Improve Performance CNN Method for Detecting Diabetic Retinopathy,"2020 3rd International Conference on Information and Communications Technology, ICOIACT 2020",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100871869&doi=10.1109%2fICOIACT50329.2020.9332019&partnerID=40&md5=c516af2b5dd68b4550eff1ca72b32e02,"The most common causes of blindness in adults worldwide, 2.6% of them are caused by diabetic retinopathy, which is a progressive disease caused by complications of diabetes mellitus. Early detection and prompt treatment help save eyesight. The artificial intelligence technology can provide objective and accurate screening results. Deep learning, especially the Convolutional Neural Network(CNN), which is part of artificial intelligence, has proven successful in solving image problems and is very well used in medical image analysis. CNN works well on large datasets, but it will affectnetwork performance to overfitting in fewer datasets. So to solve the problem of small data, data augmentation techniques can be used. There are various kinds of data augmentation techniques. This study used the CNN method to classify diabetic retinopathy disease, compared several suitable data augmentation techniques for retinal fundus images, and used Contrast Limited Adaptive Histogram Equalization (CLAHE) for image enhancement. This study found that the augmented random zoom technique, together with CLAHE, provided the best accuracy of 98% with 96% sensitivity and 100% specificity. © 2020 IEEE.",Contrast Limited Adaptive Histogram Equalization; Convolutional Neural Network; Data Augmentation; Diabetic Retinopathy
Conference Paper,"Rahhal D., Alhamouri R., Albataineh I., Duwairi R.",Detection and Classification of Diabetic Retinopathy Using Artificial Intelligence Algorithms,"2022 13th International Conference on Information and Communication Systems, ICICS 2022",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135044847&doi=10.1109%2fICICS55353.2022.9811197&partnerID=40&md5=134d6901a145a60b5ee387ab6af95ed1,"Diabetic Retinopathy (DR) is considered as a sight-threatening complication of diabetes mellitus, the primary cause of blindness among working-age individuals. Ophthalmologists use fundus images to diagnose diabetic retinopathy and measure its severity by observing retinal lesions with high accuracy. However, diagnosing DR manually from fundus images requires a high level of expertise and effort from professional ophthalmologists. Early diagnosis of diabetes helps in saving the patient's eye and preventing possible risky complications. In this context, the current paper proposed a model aims to detect DR using image processing and deep learning methods. A fully automatic diagnosis system that exceeds manual techniques to avoid misdiagnosis, reducing time, effort and cost were presented through this paper. A publicly available dataset of fundus images was used to apply the current paper's proposed neural network model and transfer learning models, to classify each image into one of the five diabetic retinopathy stages. The simple proposed model achieved an accuracy of 66.68% in predicting the right label of the image. On the other hand, the second approach of fine-tuning the pre-trained models achieved higher testing accuracy (ranging from 93.13% to 100%,), which exceeds the current state-of-the-art results. © 2022 IEEE.",Classification; CNN; Deep Learning; Diabetic Retinopathy; Fundus; Transfer Learning
Conference Paper,"Bootwala A., Breininger K., Maier A., Christlein V.",Assistive diagnosis in opthalmology using deep learning-based image retrieval,Informatik aktuell,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083075697&doi=10.1007%2f978-3-658-29267-6_30&partnerID=40&md5=a234d44d52d7a5a6aa078e065cc87485,"Image-based diagnosis of the human eye is crucial for the early detection of several diseases in ophthalmology. In this work, we investigate the possibility to use image retrieval to support the diagnosis of diabetic retinopathy. To this end, we evaluate different feature learning techniques. In particular, we evaluate the performance of cost functions specialized for metric learning, namely, contrastive loss, triplet loss and histogram loss, and compare them with the classification crossentropy loss. Additionally, we train the network on images graded by diabetic retinopathy severity and transfer the knowledge learned, to retrieve images that are graded by diabetic macular edema severity and evaluate our algorithm on three different datasets. For the task of detecting referable/non-referable diabetic retinopathy, we achieve a sensitivity of 0.84 and specificity of 0.88 on the Kaggle dataset using histogram loss. On the Messidor dataset, we achieve a sensitivity and specificity score of 0.79 and 0.84, respectively. © Springer Fachmedien Wiesbaden GmbH, ein Teil von Springer Nature 2020.",Cost functions; Diagnosis; Eye protection; Graphic methods; Image retrieval; Cross entropy; Diabetic retinopathy; Feature learning; Image-based diagnosis; Macular edema; Metric learning; Opthalmology; Sensitivity and specificity; Deep learning
Article,"Saini M., Susan S.",Diabetic retinopathy screening using deep learning for multi-class imbalanced datasets,Computers in Biology and Medicine,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136527802&doi=10.1016%2fj.compbiomed.2022.105989&partnerID=40&md5=af4eaf0d81ceb0984665fc022797ff29,"Screening and diagnosis of diabetic retinopathy disease is a well known problem in the biomedical domain. The use of medical imagery from a patient's eye for detecting the damage caused to blood vessels is a part of the computer-aided diagnosis that has immensely progressed over the past few years due to the advent and success of deep learning. The challenges related to imbalanced datasets, inconsistent annotations, less number of sample images and inappropriate performance evaluation metrics has caused an adverse impact on the performance of the deep learning models. In order to tackle the effect caused by class imbalance, we have done extensive comparative analysis between various state-of-the-art methods on three benchmark datasets of diabetic retinopathy: - Kaggle DR detection, IDRiD and DDR, for classification, object detection and segmentation tasks. This research could serve as a concrete baseline for future research in this field to find appropriate approaches and deep learning architectures for imbalanced datasets. © 2022 Elsevier Ltd",Deep learning; Diabetic retinopathy; Image classification; Object detection; Segmentation; Transfer learning
Conference Paper,Zhang Z.,Deep-Learning-Based Early Detection of Diabetic Retinopathy on Fundus Photography Using EfficientNet,ACM International Conference Proceeding Series,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086502623&doi=10.1145%2f3390557.3394303&partnerID=40&md5=666467c0d855c0d893eccc91f6539147,"Diabetic retinopathy, which is the leading cause of blindness among working aged adults, is a serious health problem worldwide. As millions of people suffer from diabetic retinopathy, the need for an automated method of diabetic retinopathy detection to prevent lifelong blindness has long been recognized. Therefore, it's a key challenge to build an automated diagnosis system to detect such disease early and efficiently. For that purpose, we propose a deep-learning-based method to early detect diabetic retinopathy on fundus photography in this paper. The dataset of fundus images is provided by Aravind Eye Hospital in India through a featured competition on the Kaggle platform. Deep convolutional neural networks based on EfficientNet-B3 are utilized to simultaneously extract features from fundus images, where the severity level of diabetic retinopathy is subsequently identified through a regression method. The results show that our deep learning model can achieve an expert-level performance on diagnosing the severity level of diabetic retinopathy, with a quadratic weighted kappa score 0.935 on the private dataset. Such performance locates at the top 1% among all teams and can get a gold medal prize in the Kaggle competition. © 2020 ACM.",Computer vision; Deep learning; Diabetic retinopathy; EfficientNet; Various applications
Article,"Shorfuzzaman M., Hossain M.S., El Saddik A.",An explainable deep learning ensemble model for robust diagnosis of diabetic retinopathy grading,"ACM Transactions on Multimedia Computing, Communications and Applications",2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122078299&doi=10.1145%2f3469841&partnerID=40&md5=8b32e8096812829db91b2121069d5ed4,"Diabetic retinopathy (DR) is one of the most common causes of vision loss in people who have diabetes for a prolonged period. Convolutional neural networks (CNNs) have become increasingly popular for computer-aided DR diagnosis using retinal fundus images. While these CNNs are highly reliable, their lack of sufficient explainability prevents them from being widely used in medical practice. In this article, we propose a novel explainable deep learning ensemble model where weights from different models are fused into a single model to extract salient features from various retinal lesions found on fundus images. The extracted features are then fed to a custom classifier for the final diagnosis of DR severity level. The model is trained on an APTOS dataset containing retinal fundus images of various DR grades using a cyclical learning rates strategy with an automatic learning rate finder for decaying the learning rate to improve model accuracy. We develop an explainability approach by leveraging gradient-weighted class activation mapping and shapely adaptive explanations to highlight the areas of fundus images that are most indicative of different DR stages. This allows ophthalmologists to view our model's decision in a way that they can understand. Evaluation results using three different datasets (APTOS, MESSIDOR, IDRiD) show the effectiveness of our model, achieving superior classification rates with a high degree of precision (0.970), sensitivity (0.980), and AUC (0.978). We believe that the proposed model, which jointly offers state-of-the-art diagnosis performance and explainability, will address the black-box nature of deep CNN models in robust detection of DR grading. © 2021 Association for Computing Machinery.",Diabetic retinopathy diagnosis; Ensemble model; Explainable deep CNN; Retinal fundus images; Transfer learning
Conference Paper,"Rodriguez-Leon C., Arevalo W., Banos O., Villalonga C.",Deep Learning for Diabetic Retinopathy Prediction,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115147446&doi=10.1007%2f978-3-030-85030-2_44&partnerID=40&md5=a0ecb28031ecb491bde70455a70aaca5,"Diabetic retinopathy is a complication of diabetes mellitus. Its early diagnosis can prevent its progression and avoid the development of other major complications such as blindness. Deep learning and transfer learning appear in this context as powerful tools to aid in diagnosing this condition. The present work proposes to experiment with different models of pre-trained convolutional neural networks to determine which one fits best the problem of predicting diabetic retinopathy. The Diabetic Retinopathy Detection dataset supported by the EyePACS competition is used for evaluation. Seven pre-trained CNN models implemented in the Keras library developed in Python and, in this case, executed in the Kaggle platform, are used. Results show that no architecture performs better in all evaluation metrics. From a balanced behaviour perspective, the MobileNetV2 model stands out, with execution times almost half that of the slowest CNNs and without falling into overfitting with 20 learning epochs. InceptionResNetV2 stands out from the perspective of best performance, with a Kappa coefficient of 0.7588. © 2021, Springer Nature Switzerland AG.",Deep learning; Diabetic retinopathy; Transfer learning
Conference Paper,"Islam K.T., Wijewickrema S., O'Leary S.",Identifying diabetic retinopathy from OCT images using deep transfer learning with artificial neural networks,Proceedings - IEEE Symposium on Computer-Based Medical Systems,2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070964197&doi=10.1109%2fCBMS.2019.00066&partnerID=40&md5=b0d487ded641d679a89fdba6fad0da36,"Diabetic retinopathy occurs when the blood vessels inside the retina are damaged as a result of diabetes. Early diagnosis and treatment of this disease is crucial to avoid blindness. Analysis of retinal images such as funduscopy, ultrasonography, and optical coherence tomography (OCT) is typically used in the diagnosis of diabetic retinopathy. In recent years, various automated techniques including deep learning have been used for this purpose. In this paper, we explore how to use deep transfer learning for the diagnosis of diabetic retinopathy using OCT images. We retrain existing deep learning models for this task and investigate how a retrained model can be optimized. We demonstrate that using an optimized pre-trained model as a feature extractor and training a conventional classifier on these features is an effective way to diagnose diabetic retinopathy using OCT images. We show through experiments that the proposed method outperforms similar existing methods with respect to accuracy and training time. © 2019 IEEE.",Artificial Neural Networks; Deep Learning; Diabetic Retinopathy; Feature Extraction; OCT Image; Transfer Learning
Conference Paper,"Chen H., Cao P.",Deep Learning Based Data Augmentation and Classification for Limited Medical Data Learning,"2019 IEEE International Conference on Power, Intelligent Computing and Systems, ICPICS 2019",2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077955687&doi=10.1109%2fICPICS47731.2019.8942411&partnerID=40&md5=a3a5d6a5efce21665965749f5a5ab3cd,"Deep learning methods, especially convolutional neural network (CNN), which have made breakthroughs in many fields of computer vision, and one of the most prominent features of deep learning is that large-scale dataset with annotations should be used. However, obtaining such a dataset in the medical field is really a challenge due to scarcity of annotated data. In our work, a deep learning based framework is proposed to generate more real data from the existing data with Generative Adversarial Networks (GAN) and classify the suspicious lesions with CNN. The proposed method is applied on the diagnosis of diabetic retinopathy. The experimental results show that our deep learning framework achieve a better classification performance than the traditional deep learning methods. © 2019 IEEE.",Convolution neural networks; data augmentation; deep learning; diabetic retinopathy; generative adversarial networks; lesion classification
Article,"Das D., Biswas S.K., Bandyopadhyay S.",A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,Multimedia Tools and Applications,2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126831908&doi=10.1007%2fs11042-022-12642-4&partnerID=40&md5=9c0f3a8c3da1359c2793fbda76870515,"Diabetic Retinopathy (DR) is a health condition caused due to Diabetes Mellitus (DM). It causes vision problems and blindness due to disfigurement of human retina. According to statistics, 80% of diabetes patients battling from long diabetic period of 15 to 20 years, suffer from DR. Hence, it has become a dangerous threat to the health and life of people. To overcome DR, manual diagnosis of the disease is feasible but overwhelming and cumbersome at the same time and hence requires a revolutionary method. Thus, such a health condition necessitates primary recognition and diagnosis to prevent DR from developing into severe stages and prevent blindness. Innumerable Machine Learning (ML) models are proposed by researchers across the globe, to achieve this purpose. Various feature extraction techniques are proposed for extraction of DR features for early detection. However, traditional ML models have shown either meagre generalization throughout feature extraction and classification for deploying smaller datasets or consumes more of training time causing inefficiency in prediction while using larger datasets. Hence Deep Learning (DL), a new domain of ML, is introduced. DL models can handle a smaller dataset with help of efficient data processing techniques. However, they generally incorporate larger datasets for their deep architectures to enhance performance in feature extraction and image classification. This paper gives a detailed review on DR, its features, causes, ML models, state-of-the-art DL models, challenges, comparisons and future directions, for early detection of DR. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Deep learning; Diabetic retinopathy; Feature extraction; Image processing; Machine learning; Retinal lesions
Article,"Alfian G., Syafrudin M., Fitriyani N.L., Anshari M., Stasa P., Svub J., Rhee J.",Deep neural network for predicting diabetic retinopathy from risk factors,Mathematics,2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091360487&doi=10.3390%2fmath8091620&partnerID=40&md5=dfa90eb871bbe1265703388f63d45fc7,"Extracting information from individual risk factors provides an effective way to identify diabetes risk and associated complications, such as retinopathy, at an early stage. Deep learning and machine learning algorithms are being utilized to extract information from individual risk factors to improve early-stage diagnosis. This study proposes a deep neural network (DNN) combined with recursive feature elimination (RFE) to provide early prediction of diabetic retinopathy (DR) based on individual risk factors. The proposed model uses RFE to remove irrelevant features and DNN to classify the diseases. A publicly available dataset was utilized to predict DR during initial stages, for the proposed and several current best-practice models. The proposed model achieved 82.033% prediction accuracy, which was a significantly better performance than the current models. Thus, important risk factors for retinopathy can be successfully extracted using RFE. In addition, to evaluate the proposed prediction model robustness and generalization, we compared it with other machine learning models and datasets (nephropathy and hypertension-diabetes). The proposed prediction model will help improve early-stage retinopathy diagnosis based on individual risk factors. © 2020 by the authors.",Deep learning; Deep neural network; Machine learning; Recursive feature elimination; Retinopathy; Risk factor
Conference Paper,"Jancy P.L., Latha B.",Deep Learning Techniques for Diabetic Retinopathy Diagnosis using Optical Coherence Tomography: A Review,"2022 International Conference on Advanced Computing Technologies and Applications, ICACTA 2022",2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129201776&doi=10.1109%2fICACTA54488.2022.9753418&partnerID=40&md5=9ce0e7b08a1cf7edb71e543b91ad29f6,"Diabetic Retinopathy is an eye disease that prevails among patients suffering from diabetic mellitus. Due to high glucose level in blood, the retina of the eye gets affected. Diabetic Retinopathy cause vision loss if left undiagnosed. Regular annual inspection is required for the Diabetic patients to prevent the disease. Optical Coherence Tomography, an non-invasive imaging modality that captures retina with high resolution. Deep learning Algorithms are showing successful solutions regarding medical images examinations. This paper reviews the deep learning methods used for the detection of Diabetic Retinopathy based on Optical Coherence Tomography for past four years. The segmentation of Optical Coherence Tomography images into retinal layer using deep learning methods are also reviewed. The features used for Diabetic Retinopathy classification are also reviewed. © 2022 IEEE.",Deep learning applications; Diabetic Mellitus; Diabetic Retinopathy; Optical Coherence Tomography; Retinal layer and fluid segmentation
