Document Type,Authors,Title,Source,Year,Link,Abstract,Keywords
Review,"Gensure, Rebekah H.; Chiang, Michael F.; Campbell, John P.",Artificial intelligence for retinopathy of prematurity,current opinion in ophthalmology,2020,Not found,"Purpose of review In this article, we review the current state of artificial intelligence applications in retinopathy of prematurity (ROP) and provide insight on challenges as well as strategies for bringing these algorithms to the bedside. Recent findings In the past few years, there has been a dramatic shift from machine learning approaches based on feature extraction to 'deep' convolutional neural networks for artificial intelligence applications. Several artificial intelligence for ROP approaches have demonstrated adequate proof-of-concept performance in research studies. The next steps are to determine whether these algorithms are robust to variable clinical and technical parameters in practice. Integration of artificial intelligence into ROP screening and treatment is limited by generalizability of the algorithms to maintain performance on unseen data and integration of artificial intelligence technology into new or existing clinical workflows. Real-world implementation of artificial intelligence for ROP diagnosis will require massive efforts targeted at developing standards for data acquisition, true external validation, and demonstration of feasibility. We must now focus on ethical, technical, clinical, regulatory, and financial considerations to bring this technology to the infant bedside to realize the promise offered by this technology to reduce preventable blindness from ROP.",artificial intelligence; deep learning; machine learning; retinopathy of prematurity
Review,"Tsiknakis, Nikos; Theodoropoulos, Dimitris; Manikis, Georgios; Ktistakis, Emmanouil; Boutsora, Ourania; Berto, Alexa; Scarpa, Fabio; Scarpa, Alberto; Fotiadis, Dimitrios, I; Marias, Kostas",Deep learning for diabetic retinopathy detection and classification based on fundus images: A review,computers in biology and medicine,2021,Not found,"Diabetic Retinopathy is a retina disease caused by diabetes mellitus and it is the leading cause of blindness globally. Early detection and treatment are necessary in order to delay or avoid vision deterioration and vision loss. To that end, many artificial-intelligence-powered methods have been proposed by the research community for the detection and classification of diabetic retinopathy on fundus retina images. This review article provides a thorough analysis of the use of deep learning methods at the various steps of the diabetic retinopathy detection pipeline based on fundus images. We discuss several aspects of that pipeline, ranging from the datasets that are widely used by the research community, the preprocessing techniques employed and how these accelerate and improve the models' performance, to the development of such deep learning models for the diagnosis and grading of the disease as well as the localization of the disease's lesions. We also discuss certain models that have been applied in real clinical settings. Finally, we conclude with some important insights and provide future research directions.",artificial intelligence; classification; deep learning; detection; diabetic retinopathy; fundus; retina; review; segmentation
Review,"Sheng, Bin; Chen, Xiaosi; Li, Tingyao; Ma, Tianxing; Yang, Yang; Bi, Lei; Zhang, Xinyuan",An overview of artificial intelligence in diabetic retinopathy and other ocular diseases,frontiers in public health,2022,Not found,"Artificial intelligence (AI), also known as machine intelligence, is a branch of science that empowers machines using human intelligence. AI refers to the technology of rendering human intelligence through computer programs. From healthcare to the precise prevention, diagnosis, and management of diseases, AI is progressing rapidly in various interdisciplinary fields, including ophthalmology. Ophthalmology is at the forefront of AI in medicine because the diagnosis of ocular diseases heavy reliance on imaging. Recently, deep learning-based AI screening and prediction models have been applied to the most common visual impairment and blindness diseases, including glaucoma, cataract, age-related macular degeneration (ARMD), and diabetic retinopathy (DR). The success of AI in medicine is primarily attributed to the development of deep learning algorithms, which are computational models composed of multiple layers of simulated neurons. These models can learn the representations of data at multiple levels of abstraction. The Inception-v3 algorithm and transfer learning concept have been applied in DR and ARMD to reuse fundus image features learned from natural images (non-medical images) to train an AI system with a fraction of the commonly used training data (<1%). The trained AI system achieved performance comparable to that of human experts in classifying ARMD and diabetic macular edema on optical coherence tomography images. In this study, we highlight the fundamental concepts of AI and its application in these four major ocular diseases and further discuss the current challenges, as well as the prospects in ophthalmology.",artificial intelligence; diabetic retinopathy; glaucoma; cataract; age-related macular degeneration
Article,"Wang, Juan; Bai, Yujing; Xia, Bin",Simultaneous Diagnosis of Severity and Features of Diabetic Retinopathy in Fundus Photography Using Deep Learning,ieee journal of biomedical and health informatics,2020,Not found,"Deep learning methods for diabetic retinopathy (DR) diagnosis are usually criticized as being lack of interpretability in the diagnostic result, thus limiting their application in clinic. Simultaneous prediction of DR related features during the DR severity diagnosis is able to resolve this issue by providing supporting evidence (i.e. DR related features) for the diagnostic result (i.e. DR severity). In this study, we propose a hierarchical multi-task deep learning framework for simultaneous diagnosis of DR severity and DR related features in fundus images. A hierarchical structure is introduced to incorporate the casual relationship between DR related features and DR severity levels. In the experiments, the proposed approach was evaluated on two independent testing sets using quadratic weighted Cohen's kappa coefficient, receiver operating characteristic analysis, and precision-recall analysis. A grader study was also conducted to compare the performance of the proposed approach with those of general ophthalmologists with different levels of experience. The results demonstrate that the proposed approach could improve the performance for both DR severity diagnosis and DR related feature detection when comparing with the traditional deep learning-based methods. It achieves performance close to general ophthalmologists with five years of experience when diagnosing DR severity levels, and general ophthalmologists with ten years of experience for referable DR detection.",feature extraction; task analysis; head; machine learning; diabetes; retinopathy; photography; diabetic retinopathy (dr); dr severity; dr related features; deep learning
Article,"Arsalan, Muhammad; Owais, Muhammad; Mahmood, Tahir; Cho, Se Woon; Park, Kang Ryoung",Aiding the Diagnosis of Diabetic and Hypertensive Retinopathy Using Artificial Intelligence-Based Semantic Segmentation,journal of clinical medicine,2019,Not found,"Automatic segmentation of retinal images is an important task in computer-assisted medical image analysis for the diagnosis of diseases such as hypertension, diabetic and hypertensive retinopathy, and arteriosclerosis. Among the diseases, diabetic retinopathy, which is the leading cause of vision detachment, can be diagnosed early through the detection of retinal vessels. The manual detection of these retinal vessels is a time-consuming process that can be automated with the help of artificial intelligence with deep learning. The detection of vessels is difficult due to intensity variation and noise from non-ideal imaging. Although there are deep learning approaches for vessel segmentation, these methods require many trainable parameters, which increase the network complexity. To address these issues, this paper presents a dual-residual-stream-based vessel segmentation network (Vess-Net), which is not as deep as conventional semantic segmentation networks, but provides good segmentation with few trainable parameters and layers. The method takes advantage of artificial intelligence for semantic segmentation to aid the diagnosis of retinopathy. To evaluate the proposed Vess-Net method, experiments were conducted with three publicly available datasets for vessel segmentation: digital retinal images for vessel extraction (DRIVE), the Child Heart Health Study in England (CHASE-DB1), and structured analysis of retina (STARE). Experimental results show that Vess-Net achieved superior performance for all datasets with sensitivity (Se), specificity (Sp), area under the curve (AUC), and accuracy (Acc) of 80.22%, 98.1%, 98.2%, and 96.55% for DRVIE; 82.06%, 98.41%, 98.0%, and 97.26% for CHASE-DB1; and 85.26%, 97.91%, 98.83%, and 96.97% for STARE dataset.",diabetic retinopathy; retinal vessels; vessel segmentation; vess-net
Review,"Lakshminarayanan, Vasudevan; Kheradfallah, Hoda; Sarkar, Arya; Balaji, Janarthanam Jothi",Automated Detection and Diagnosis of Diabetic Retinopathy: A Comprehensive Survey,journal of imaging,2021,Not found,"Diabetic Retinopathy (DR) is a leading cause of vision loss in the world. In the past few years, artificial intelligence (AI) based approaches have been used to detect and grade DR. Early detection enables appropriate treatment and thus prevents vision loss. For this purpose, both fundus and optical coherence tomography (OCT) images are used to image the retina. Next, Deep-learning (DL)-/machine-learning (ML)-based approaches make it possible to extract features from the images and to detect the presence of DR, grade its severity and segment associated lesions. This review covers the literature dealing with AI approaches to DR such as ML and DL in classification and segmentation that have been published in the open literature within six years (2016-2021). In addition, a comprehensive list of available DR datasets is reported. This list was constructed using both the PICO (P-Patient, I-Intervention, C-Control, O-Outcome) and Preferred Reporting Items for Systematic Review and Meta-analysis (PRISMA) 2009 search strategies. We summarize a total of 114 published articles which conformed to the scope of the review. In addition, a list of 43 major datasets is presented.",diabetic retinopathy; artificial intelligence; deep learning; machine-learning; datasets; fundus image; optical coherence tomography; ophthalmology
Review,"Mateen, Muhammad; Wen, Junhao; Hassan, Mehdi; Nasrullah, Nasrullah; Sun, Song; Hayat, Shaukat","Automatic Detection of Diabetic Retinopathy: A Review on Datasets, Methods and Evaluation Metrics",ieee access,2020,Not found,"Diabetic retinopathy (DR) is a fast-spreading disease across the globe, which is caused by diabetes. The DR may lead the diabetic patients to complete vision loss. In this scenario, early identification of DR is more essential to recover the eyesight and provide help for timely treatment. The detection of DR can be manually performed by ophthalmologists and can also be done by an automated system. In the manual system, analysis and explanation of retinal fundus images need ophthalmologists, which is a time-consuming and very expensive task, but in the automated system, artificial intelligence is used to perform an imperative role in the area of ophthalmology and specifically in the early detection of diabetic retinopathy over the traditional detection approaches. Recently, numerous advanced studies related to the identification of DR have been reported. This paper presents a detailed review of the detection of DR with three major aspects; retinal datasets, DR detection methods, and performance evaluation metrics. Furthermore, this study also covers the author's observations and provides future directions in the field of diabetic retinopathy to overcome the research challenges for the research community.",diabetes; retina; retinopathy; feature extraction; lesions; blood vessels; biomedical imaging; artificial intelligence; deep learning; diabetic retinopathy; fundus images; machine learning; ophthalmology
Article,"Shorfuzzaman, Mohammad; Hossain, M. Shamim; El Saddik, Abdulmotaleb",An Explainable Deep Learning Ensemble Model for Robust Diagnosis of Diabetic Retinopathy Grading,acm transactions on multimedia computing communications and applications,2021,Not found,"Diabetic retinopathy (DR) is one of the most common causes of vision loss in people who have diabetes for a prolonged period. Convolutional neural networks (CNNs) have become increasingly popular for computer-aided DR diagnosis using retinal fundus images. While these CNNs are highly reliable, their lack of sufficient explainability prevents them from being widely used in medical practice. In this article, we propose a novel explainable deep learning ensemble model where weights from different models are fused into a single model to extract salient features from various retinal lesions found on fundus images. The extracted features are then fed to a custom classifier for the final diagnosis of DR severity level. The model is trained on an APTOS dataset containing retinal fundus images of various DR grades using a cyclical learning rates strategy with an automatic learning rate finder for decaying the learning rate to improve model accuracy. We develop an explainability approach by leveraging gradient-weighted class activation mapping and shapely adaptive explanations to highlight the areas of fundus images that are most indicative of different DR stages. This allows ophthalmologists to view our model's decision in a way that they can understand. Evaluation results using three different datasets (APTOS, MESSIDOR, IDRiD) show the effectiveness of our model, achieving superior classification rates with a high degree of precision (0.970), sensitivity (0.980), and AUC (0.978). We believe that the proposed model, which jointly offers state-of-the-art diagnosis performance and explainability, will address the black-box nature of deep CNN models in robust detection of DR grading.",explainable deep cnn; diabetic retinopathy diagnosis; ensemble model; transfer learning; retinal fundus images
Proceedings Paper,"Tymchenko, Borys; Marchenko, Philip; Spodarets, Dmitry",Deep Learning Approach to Diabetic Retinopathy Detection,icpram: proceedings of the 9th international conference on pattern recognition applications and methods,2020,Not found,"Diabetic retinopathy is one of the most threatening complications of diabetes that leads to permanent blindness if left untreated. One of the essential challenges is early detection, which is very important for treatment success. Unfortunately, the exact identification of the diabetic retinopathy stage is notoriously tricky and requires expert human interpretation of fundus images. Simplification of the detection step is crucial and can help millions of people. Convolutional neural networks (CNN) have been successfully applied in many adjacent subjects, and for diagnosis of diabetic retinopathy itself. However, the high cost of big labeled datasets, as well as inconsistency between different doctors, impede the performance of these methods. In this paper, we propose an automatic deep-learning-based method for stage detection of diabetic retinopathy by single photography of the human fundus. Additionally, we propose the multistage approach to transfer learning, which makes use of similar datasets with different labeling. The presented method can be used as a screening method for early detection of diabetic retinopathy with sensitivity and specificity of 0.99 and is ranked 54 of 2943 competing methods (quadratic weighted kappa score of 0.925466) on APTOS 2019 Blindness Detection Dataset (13000 images).",deep learning; diabetic retinopathy; deep convolutional neural network; multi-target learning; ordinal regression; classification; shap; kaggle; aptos
Article; Early Access,"Ozbay, Erdal",An active deep learning method for diabetic retinopathy detection in segmented fundus images using artificial bee colony algorithm,artificial intelligence review,0,Not found,"Retinal fundus image analysis (RFIA) is frequently used in diabetic retinopathy (DR) scans to determine the risk of blindness in diabetic patients. Ophthalmologists receive support from various RFIA programs to cope with the detection of visual impairments. In this article, active deep learning (ADL) using new multi-layer architecture for automatic recognition of DR stages is presented. In order to facilitate the detection of retinal lesions in the ADL system preprocessing, the image is segmented using the artificial bee colony (ABC) algorithm with a threshold value determined according to the results of the image histogram. Besides, a tag-efficient convolutional neural networks (CNN) architecture known as ADL-CNN has been developed to automatically extract segmented retinal features. This model has a two-stage process. In the first, images are selected to learn simple or complex retinal features using basic accuracy labels in the training examples. Second, useful masks are provided with key lesion features and segment areas of interest within the retinal image. Performance evaluation of the proposed ADL-CNN model is made by comparing the most advanced methods using the same dataset. The efficiency of the system is made by measuring statistical metrics such as classification accuracy (ACC), sensitivity (SE), specificity (SP), and F-measure. The ADL-CNN model applied to the EyePacs dataset containing 35,122 retinal images yielded 99.66% ACC, 93.76% SE, 96.71% SP, and 94.58% F-measure. In this respect, it can be said that the proposed method shows high performance in detecting DR lesions from various fundus images and determining the severity level.",artificial bee colony; active deep learning; convolutional neural network; diabetic retinopathy; image segmentation
Article,"Canayaz, Murat",Classification of diabetic retinopathy with feature selection over deep features using nature-inspired wrapper methods,applied soft computing,2022,Not found,"Diabetic retinopathy (DR) is the most common cause of blindness in middle-aged people. It shows that an automatic image evaluation system is needed in the diagnosis of this disease due to the low number of scans. It is critical to meet this need that these systems are large-scale, cost-effective, and minimally invasive screening programs. With the use of deep learning techniques, it has become possible to develop these systems faster. In this study, a new approach based on feature selection with wrapper methods used for fundus images is presented that can be used for the classification of diabetic retinopathy. The fundus images used in the approach were improved with image processing techniques, thus eliminating unnecessary dark areas in the image. In this new approach, the most effective features are selected by wrapping methods over 512 deep features obtained from EfficientNet and DenseNet models. Binary Bat Algorithm (BBA), Equilibrium Optimizer (EO), Gravity Search Algorithm (GSA), and Gray Wolf Optimizer (GWO) were chosen as wrappers for the proposed approach. Selected features are classified by support vector machines and random forest machine learning methods. Considering the performance of this new approach, it gives the highest value of 96.32 accuracy and 0.98 kappa. These performance values were obtained with a minimum of 250 selected features. The Asia Pacific Tele-Ophthalmology Society (APTOS) dataset used to obtain these values was taken from a competition organized by Kaggle. The highest kappa value in this competition was reported as 0.93. This parameter clearly demonstrates the success of our approach. (C) 2022 Elsevier B.V. All rights reserved.",diabetic retinopathy; wrapper methods; deep learning models; feature selection
Article,"Roser, Pia; Grohmann, Carsten; Aberle, Jens; Spitzer, Martin S.; Kromer, Robert",Evaluation of the implementation of an approved artificial intelligence system for the detection of diabetic retinopathy,diabetologie und stoffwechsel,2021,Not found,"Introduction The aim of this study was to evaluate the accuracy of an artificial intelligence (AI)-based analysis of fundus photographs compared to ophthalmologists in diabetic retinopathy screening in an internal medicine clinic. In addition, the total examination time as well as the patient and examiner satisfaction were surveyed. Methods In the study, 112 outpatients received fundus photography with automated diagnosis of diabetic retinopathy (DR) via the IDx-DR system (Digital Diagnostics). The images were taken with the Topcon TRC-NW400 camera (Topcon Corp. Japan). Inclusion criterion was a diagnosis of diabetes mellitus type 1, 2, or 3. Patients who could not be imaged with sufficient quality in miosis were imaged in mydriasis. Results Of 112 patients, analysis was possible in 107 patients (95.5 %) by grading by IDx-DR, based on fundus images - vs. 103 patients (91.9 %) by grading by ophthalmologists, based on the same, high-resolution fundus images. In the remaining patients, grading was possible by funduscopy alone. There was a highly significant correlation regarding the assessment of the severity of diabetic retinopathy between the examiner and the IDx-DR system (Correlation coefficient (r) = 0.8738; p < 0.0001). Patient satisfaction was 4.5 +/- 0.6 [1-5], and total examination time in miosis averaged 3:04 +/- 0: 28 [min:sec]. Conclusion Retinopathy screening using IDx-DR enables automated diagnosis based on fundus photographs with a robust, technical and clinical workflow that allows timely and reliable assessment of diabetic retinopathy and is associated with high patient satisfaction.",diabetic retinopathy; artificial intelligence; automated grading
